All Transactions Activity Types

Account Activity for Individual Brokerage -0129 from LAST 60 Days

Total:,16582.68

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
05/29/26,05/29/26,05/29/26,Margin Interest,Thru 05/31/26 for 8 days,--,--,,,-33.37,0.0,--,--
05/26/26,05/26/26,05/27/26,Sold,DWAVE QUANTUM INC UNSOLICITED TRADE,QBTS,--,-200.0,27.62,5523.84,0.12,--,--
05/26/26,05/26/26,05/27/26,Bought,DWAVE QUANTUM INC UNSOLICITED TRADE,QBTS,--,100.0,27.45,-2744.99,0.0,--,--
05/22/26,05/22/26,05/26/26,Bought,DWAVE QUANTUM INC UNSOLICITED TRADE,QBTS,--,100.0,26.48,-2648.0,0.0,--,--
05/26/26,05/26/26,05/26/26,Interest Income,CASH BALANCE PROGRAM (Period 05/21-05/25),CBP,--,,,0.02,0.0,--,--
05/20/26,05/20/26,05/21/26,Sold,ADVANCED MICRO DEVICES UNSOLICITED TRADE,AMD,--,-100.0,438.0,43799.07,0.91,--,--
05/20/26,05/20/26,05/21/26,Bought,ADVANCED MICRO DEVICES UNSOLICITED TRADE,AMD,--,100.0,435.0,-43500.0,0.0,--,--
05/20/26,05/20/26,05/21/26,Sold,PALO ALTO NETWORKS INC UNSOLICITED TRADE,PANW,--,-100.0,244.036,24403.1,0.51,--,--
05/14/26,05/14/26,05/15/26,Bought,PALO ALTO NETWORKS INC UNSOLICITED TRADE,PANW,--,100.0,236.64,-23664.0,0.0,--,--
05/19/26,05/19/26,05/20/26,Sold,HYPERLIQUID STRATEGIES UNSOLICITED TRADE,PURR,--,-2000.0,7.88,15759.48,0.33,--,--
05/19/26,05/19/26,05/20/26,Bought,HYPERLIQUID STRATEGIES UNSOLICITED TRADE,PURR,--,1000.0,7.838,-7838.2,0.0,--,--
05/19/26,05/19/26,05/20/26,Bought,HYPERLIQUID STRATEGIES UNSOLICITED TRADE,PURR,--,1000.0,8.1,-8100.0,0.0,--,--
05/18/26,05/18/26,05/19/26,Sold,ZSCALER  INC UNSOLICITED TRADE,ZS,--,-500.0,173.08,86539.0,1.8,--,--
05/18/26,05/18/26,05/19/26,Bought,ZSCALER  INC UNSOLICITED TRADE,ZS,--,500.0,173.0,-86500.0,0.0,--,--
05/14/26,05/14/26,05/15/26,Bought,INTEL CORP UNSOLICITED TRADE,INTC,--,100.0,116.105,-11610.5,0.0,--,--
05/13/26,05/13/26,05/13/26,Online Transfer,TRANSFER FROM XXXXX6529  REFID:20994131395,--,--,,,34677.01,0.0,--,--

"For all accounts, the Activity Date and the Processing Date are displayed."

"Under the Bank Deposit Program, free credit balances held in an account(s) at Morgan Stanley Smith Barney LLC are automatically deposited into an interest bearing deposit account(s), at FDIC-insured banks."
